cluster,n_cells,predicted_cell_type,evidence_markers,short_name
0,3679,Fibroblast,COL14A1;OGN;THY1,"SFRP4, PTN, IGF1"
1,3657,Endothelial,ACKR1;CLDN5;EGFL7;RAMP3;TM4SF1,"EGFL7, IFI27, RAMP3"
2,3504,Fibroblast,COL1A1;COL1A2;COL3A1;FBLN1,"Q76M96, COL6A2, COL3A1"
3,3221,Unknown,,"ADH1B, SVEP1, APOD"
4,3192,Unknown,,"ASPN, FNDC1, TNC"
5,2992,Keratinocyte,KRT1,"LGALS7B, S100A14, DMKN"
6,2639,Endothelial,CLDN5;PECAM1,"PECAM1, PLVAP, CLDN5"
7,2581,Endothelial,SOX18;VWF,"SLCO2A1, SOX18, INSR"
8,2539,T cell,CD3D;CD3E;IL7R,"CD3D, LTB, CD52"
9,2481,Pericyte/SMC,ACTA2;MYH11;TAGLN,"MYH11, ADRA2A, ACTA2"
10,2112,Unknown,,"CSF3, VCAM1, ADAMTS9"
11,1865,Endothelial,PECAM1;SOX18,"Q9UHF1, PECAM1, Q9BX97"
12,1804,Macrophage/Monocyte,AIF1;C5AR1;CD163;CYBB;FCER1G;LYZ;MS4A7;TYROBP,"C5AR1, AIF1, CYBB"
13,1708,Fibroblast,DPT,"DIO2, PTGDS, APCDD1"
14,1703,Unknown,,"WNT5A, IL24, CHI3L2"
15,1499,Fibroblast,FBLN1;LUM;MMP2,"Q8IUX8, Q8N474, MMP2"
16,1458,Pericyte/SMC,RGS5,"CCDC102B, RGS5, NDUFA4L2"
17,1440,Unknown,,"DKK1, CILP, PCOLCE2"
18,1215,Keratinocyte,KRT17,"KRT6A, CALML3, KRT17"
19,1199,Unknown,,"PI16, PRG4, SFRP2"
20,780,Unknown,,"TFF3, CCL21, PROX1"
21,779,T cell,NKG7,"GNLY, NKG7, PRF1"
22,695,Dendritic,CLEC10A;FCER1A,"FCER1A, CD1C, LGALS2"
23,585,Pericyte/SMC,ACTA2;RGS5,"ACTA2, RGS5, Q9UM47"
24,578,Pericyte/SMC,RGS5,"RGS5, RBP7, NR2F2"
25,577,Macrophage/Monocyte,LYZ,"Q5TBB8, LCP1, LYZ"
26,566,Keratinocyte,KRT5,"SFN, Q14574, DSP"
27,435,Unknown,,"PCSK1, NEGR1, CYP19A1"
28,386,Unknown,,"KRT19, AQP5, KRT7"
29,364,Endothelial,ACKR1,"ACKR1, SELE, AQP1"
30,363,Mast,CPA3;TPSB2,"CPA3, TPSAB1, TPSB2"
31,341,Macrophage/Monocyte,CYBB;LYZ,"CCL18, LYZ, CYBB"
32,293,T cell,NKG7,"PTPRC, CXCR4, NKG7"
33,266,Plasma cell,IGKC;JCHAIN;MZB1,"JCHAIN, MZB1, IGKC"
34,262,Keratinocyte,KRT1;KRT15;KRT5,"CFD, CXCL14, FGFR3"
35,159,Endothelial,SOX18,"TNC, INSR, SLCO2A1"
36,155,T cell,NKG7,"NKG7, DUSP2, CCL5"
37,141,T cell,NKG7,"ADRA2A, CCL5, CD7"
