cluster,n_cells,top_names,short_name
0,3679,SFRP4;PTN;IGF1;COL14A1;OGN;MXRA5;SFRP2;THY1,"SFRP4, PTN, IGF1"
1,3657,EGFL7;IFI27;RAMP3;CLDN5;ACKR1;BCAM;HLA-DRB1;TM4SF1,"EGFL7, IFI27, RAMP3"
10,2112,CSF3;VCAM1;ADAMTS9;C2CD4B;IL6;CNKSR3;SELE;MCTP1,"CSF3, VCAM1, ADAMTS9"
11,1865,Q9UHF1;PECAM1;Q9BX97;Q86T13;Q19T08;Q53Y01;Q8NHV1;SOX18,"Q9UHF1, PECAM1, Q9BX97"
12,1804,C5AR1;AIF1;CYBB;MS4A7;TYROBP;CD163;LYZ;FCER1G,"C5AR1, AIF1, CYBB"
13,1708,DIO2;PTGDS;APCDD1;DPT;SELENOP;CFD;PLAC9;CRABP1,"DIO2, PTGDS, APCDD1"
14,1703,WNT5A;IL24;CHI3L2;MMP1;COL10A1;INHBA;IL11;CRTAC1,"WNT5A, IL24, CHI3L2"
15,1499,Q8IUX8;Q8N474;MMP2;Q96CG8;FGF7;LUM;Q6FHJ7;FBLN1,"Q8IUX8, Q8N474, MMP2"
16,1458,CCDC102B;RGS5;NDUFA4L2;HIGD1B;NOTCH3;PI15;CARMN;SYNPO2,"CCDC102B, RGS5, NDUFA4L2"
17,1440,DKK1;CILP;PCOLCE2;UGDH;SCARA5;IGFBP6;MFAP5;TNFAIP6,"DKK1, CILP, PCOLCE2"
18,1215,KRT6A;CALML3;KRT17;KRT16;CDH3;GJB2;KRT6B;DSC2,"KRT6A, CALML3, KRT17"
19,1199,PI16;PRG4;SFRP2;C1QTNF3;PCOLCE2;SLPI;FGL2;CCDC80,"PI16, PRG4, SFRP2"
2,3504,Q76M96;COL6A2;COL3A1;COL1A1;COL1A2;Q96HF1;Q12841;FBLN1,"Q76M96, COL6A2, COL3A1"
20,780,TFF3;CCL21;PROX1;PKHD1L1;LYVE1;MMRN1;SEMA3A;CAVIN2,"TFF3, CCL21, PROX1"
21,779,GNLY;NKG7;PRF1;GZMB;KLRD1;CCL5;CTSW;GZMH,"GNLY, NKG7, PRF1"
22,695,FCER1A;CD1C;LGALS2;CLEC10A;IL1R2;CD1E;LYZ;ENSG00000257764,"FCER1A, CD1C, LGALS2"
23,585,ACTA2;RGS5;Q9UM47;Q5U0D2;MYL9;ID4;Q96KJ9;ADRA2A,"ACTA2, RGS5, Q9UM47"
24,578,RGS5;RBP7;NR2F2;SYNPO2;A2M;NDUFA4L2;FABP4;CD36,"RGS5, RBP7, NR2F2"
25,577,Q5TBB8;LCP1;LYZ;Q9UBK5;SRGN;PLEK;GPR183;SPI1,"Q5TBB8, LCP1, LYZ"
26,566,SFN;Q14574;DSP;Q9HCY8;Q02413;Q13835;SERPINB5;KRT5,"SFN, Q14574, DSP"
27,435,PCSK1;NEGR1;CYP19A1;SRPX;GPC3;IGF1;APOD;STMN2,"PCSK1, NEGR1, CYP19A1"
28,386,KRT19;AQP5;KRT7;SNORC;S100A1;KRT8;SCGB2A2;AZGP1,"KRT19, AQP5, KRT7"
29,364,ACKR1;SELE;AQP1;PDK4;PLVAP;CD74;C2CD4B;SPARCL1,"ACKR1, SELE, AQP1"
3,3221,ADH1B;SVEP1;APOD;MGST1;HP;CFD;C3;FBLN5,"ADH1B, SVEP1, APOD"
30,363,CPA3;TPSAB1;TPSB2;CTSG;HPGDS;MS4A2;HPGD;HDC,"CPA3, TPSAB1, TPSB2"
31,341,CCL18;LYZ;CYBB;SFRP4;F13A1;COL11A1;C1QA;COL3A1,"CCL18, LYZ, CYBB"
32,293,PTPRC;CXCR4;NKG7;CCL5;GZMA;GNLY;CD7;CD69,"PTPRC, CXCR4, NKG7"
33,266,JCHAIN;MZB1;IGKC;PMEL;MLANA;DCT;TYRP1;IGHG3,"JCHAIN, MZB1, IGKC"
34,262,CFD;CXCL14;FGFR3;KRT1;KRT5;MT1X;KRT15;KLF5,"CFD, CXCL14, FGFR3"
35,159,TNC;INSR;SLCO2A1;COL12A1;HSPG2;MMP11;SOX18;ASPN,"TNC, INSR, SLCO2A1"
36,155,NKG7;DUSP2;CCL5;CXCR4;GNLY;CFD;APOD;CD69,"NKG7, DUSP2, CCL5"
37,141,ADRA2A;CCL5;CD7;NKG7;GZMA;RERGL;CD69;ACTA2,"ADRA2A, CCL5, CD7"
4,3192,ASPN;FNDC1;TNC;MMP11;COL12A1;THBS2;NBL1;HMCN1,"ASPN, FNDC1, TNC"
5,2992,LGALS7B;S100A14;DMKN;LY6D;CLDN1;SFN;KRT1;AQP3,"LGALS7B, S100A14, DMKN"
6,2639,PECAM1;PLVAP;CLDN5;CLEC14A;AQP1;ADGRL4;CD93;MCTP1,"PECAM1, PLVAP, CLDN5"
7,2581,SLCO2A1;SOX18;INSR;HSPG2;PCDH17;VWF;ADGRL4;CLEC14A,"SLCO2A1, SOX18, INSR"
8,2539,CD3D;LTB;CD52;CD2;CD3E;CXCR4;IL7R;CYTIP,"CD3D, LTB, CD52"
9,2481,MYH11;ADRA2A;ACTA2;RERGL;FHL5;TAGLN;PLN;ECRG4,"MYH11, ADRA2A, ACTA2"
