group,top_genes
0,"CCL14, ACKR1, AQP1, PECAM1, NPDC1, IFI27, HLA-DPB1, PLVAP, HLA-DRB1, HLA-DRA"
1,"IL7R, EZR, CXCR4, SARAF, CD52, LTB, BCL11B, SMCHD1, CYTIP, LEPROTL1"
2,"CSF3, GJA1, ADAMTS9, SELE, TM4SF1, VCAM1, NCOA7, ACKR1, IL6, ICAM1"
3,"COL6A3, MMP2, LUM, COL6A1, CTSK, SERPINF1, COL1A2, FBLN1, DCN, C1S"
4,"MFAP5, FBN1, IGFBP6, FSTL1, GSN, HTRA3, CFD, DCN, CCDC80, COL6A2"
5,"TAGLN, TPM2, MYL9, ACTA2, ADIRF, MYH11, ADRA2A, DSTN, C11orf96, CALD1"
6,"CCL5, NKG7, CST7, PTPRC, DUSP2, RUNX3, CD3D, CXCR4, PPP2R5C, CCL4"
7,"A2M, IFI27, MTUS1, GNG11, PODXL, CAV1, ADGRL4, RBP7, TSC22D1, CLEC14A"
8,"GNLY, NKG7, GZMB, CST7, PRF1, CCL4, KLRD1, CCL5, CYBA, CD247"
9,"FTL, CTSB, C5AR1, TYROBP, AIF1, CTSS, CXCL3, CD163, MS4A7, GPR183"
10,"TFF3, CD9, MMRN1, PPFIBP1, CAV1, CCL21, CCND1, S100A10, PKHD1L1, GNG11"
11,"PERP, SFN, DSP, KRT10, TXN, RND3, TPPP3, DMKN, GSTP1, SERPINB5"
12,"CTSG, TPSB2, TPSAB1, HPGD, CPA3, HPGDS, IL1RL1, KIT, ANXA1, MS4A2"
13,"RUNX3, XCL1, HCST, SRGN, NKG7, XCL2, SMAP2, DUSP2, KLRD1, REL"
14,"SRGN, IL7R, ZFP36L2, CRYBG1, MAF, BATF, IL32, CD52, HMGB2, LEPROTL1"
15,"STEAP4, CALD1, LGI4, PRRX1, TAGLN, ID4, MYL9, TIMP3, LMOD1, IGFBP7"
16,"CTSS, SERPINA1, BCL2A1, AIF1, SAT1, C5AR1, KYNU, ZEB2, LYZ, NAMPT"
17,"TM4SF1, IFI27, CALCRL, AQP1, ADGRL4, C2CD4B, ETS2, EPAS1, PLVAP, CLDN5"
18,"GPR183, CD74, HLA-DQB1, HLA-DRA, HLA-DQA1, HLA-DPA1, HLA-DPB1, RAB11FIP1, HLA-DRB1, HLA-DQA2"
19,"IL32, ARHGDIB, CD52, CD3D, RASGRP1, BCL11B, GBP5, STK17B, PTPRC, HLA-A"
