cluster,predicted_cell_type,short_name,gene_set,marker_genes_n,overlap_n,overlap_genes
0,Fibroblast,"SFRP4, PTN, IGF1",top_mutated_genes,8,0,
0,Fibroblast,"SFRP4, PTN, IGF1",wound_edge_higher_mutation_burden,8,1,MXRA5
0,Fibroblast,"SFRP4, PTN, IGF1",unwounded_skin_higher_mutation_burden,8,0,
1,Endothelial,"EGFL7, IFI27, RAMP3",top_mutated_genes,8,0,
1,Endothelial,"EGFL7, IFI27, RAMP3",wound_edge_higher_mutation_burden,8,1,HLA-DRB1
1,Endothelial,"EGFL7, IFI27, RAMP3",unwounded_skin_higher_mutation_burden,8,0,
10,Unknown,"CSF3, VCAM1, ADAMTS9",top_mutated_genes,8,1,CNKSR3
10,Unknown,"CSF3, VCAM1, ADAMTS9",wound_edge_higher_mutation_burden,8,0,
10,Unknown,"CSF3, VCAM1, ADAMTS9",unwounded_skin_higher_mutation_burden,8,0,
11,Endothelial,"Q9UHF1, PECAM1, Q9BX97",top_mutated_genes,8,0,
11,Endothelial,"Q9UHF1, PECAM1, Q9BX97",wound_edge_higher_mutation_burden,8,0,
11,Endothelial,"Q9UHF1, PECAM1, Q9BX97",unwounded_skin_higher_mutation_burden,8,0,
12,Macrophage/Monocyte,"C5AR1, AIF1, CYBB",top_mutated_genes,8,0,
12,Macrophage/Monocyte,"C5AR1, AIF1, CYBB",wound_edge_higher_mutation_burden,8,0,
12,Macrophage/Monocyte,"C5AR1, AIF1, CYBB",unwounded_skin_higher_mutation_burden,8,0,
13,Fibroblast,"DIO2, PTGDS, APCDD1",top_mutated_genes,8,0,
13,Fibroblast,"DIO2, PTGDS, APCDD1",wound_edge_higher_mutation_burden,8,0,
13,Fibroblast,"DIO2, PTGDS, APCDD1",unwounded_skin_higher_mutation_burden,8,0,
14,Unknown,"WNT5A, IL24, CHI3L2",top_mutated_genes,8,0,
14,Unknown,"WNT5A, IL24, CHI3L2",wound_edge_higher_mutation_burden,8,0,
14,Unknown,"WNT5A, IL24, CHI3L2",unwounded_skin_higher_mutation_burden,8,0,
15,Fibroblast,"Q8IUX8, Q8N474, MMP2",top_mutated_genes,8,0,
15,Fibroblast,"Q8IUX8, Q8N474, MMP2",wound_edge_higher_mutation_burden,8,0,
15,Fibroblast,"Q8IUX8, Q8N474, MMP2",unwounded_skin_higher_mutation_burden,8,0,
16,Pericyte/SMC,"CCDC102B, RGS5, NDUFA4L2",top_mutated_genes,8,1,SYNPO2
16,Pericyte/SMC,"CCDC102B, RGS5, NDUFA4L2",wound_edge_higher_mutation_burden,8,0,
16,Pericyte/SMC,"CCDC102B, RGS5, NDUFA4L2",unwounded_skin_higher_mutation_burden,8,1,CARMN
17,Unknown,"DKK1, CILP, PCOLCE2",top_mutated_genes,8,0,
17,Unknown,"DKK1, CILP, PCOLCE2",wound_edge_higher_mutation_burden,8,1,SCARA5
17,Unknown,"DKK1, CILP, PCOLCE2",unwounded_skin_higher_mutation_burden,8,0,
18,Keratinocyte,"KRT6A, CALML3, KRT17",top_mutated_genes,8,0,
18,Keratinocyte,"KRT6A, CALML3, KRT17",wound_edge_higher_mutation_burden,8,0,
18,Keratinocyte,"KRT6A, CALML3, KRT17",unwounded_skin_higher_mutation_burden,8,1,CDH3
19,Unknown,"PI16, PRG4, SFRP2",top_mutated_genes,8,0,
19,Unknown,"PI16, PRG4, SFRP2",wound_edge_higher_mutation_burden,8,0,
19,Unknown,"PI16, PRG4, SFRP2",unwounded_skin_higher_mutation_burden,8,0,
2,Fibroblast,"Q76M96, COL6A2, COL3A1",top_mutated_genes,8,0,
2,Fibroblast,"Q76M96, COL6A2, COL3A1",wound_edge_higher_mutation_burden,8,0,
2,Fibroblast,"Q76M96, COL6A2, COL3A1",unwounded_skin_higher_mutation_burden,8,1,COL1A2
20,Unknown,"TFF3, CCL21, PROX1",top_mutated_genes,8,0,
20,Unknown,"TFF3, CCL21, PROX1",wound_edge_higher_mutation_burden,8,0,
20,Unknown,"TFF3, CCL21, PROX1",unwounded_skin_higher_mutation_burden,8,0,
21,T cell,"GNLY, NKG7, PRF1",top_mutated_genes,8,1,KLRD1
21,T cell,"GNLY, NKG7, PRF1",wound_edge_higher_mutation_burden,8,1,KLRD1
21,T cell,"GNLY, NKG7, PRF1",unwounded_skin_higher_mutation_burden,8,0,
22,Dendritic,"FCER1A, CD1C, LGALS2",top_mutated_genes,8,0,
22,Dendritic,"FCER1A, CD1C, LGALS2",wound_edge_higher_mutation_burden,8,0,
22,Dendritic,"FCER1A, CD1C, LGALS2",unwounded_skin_higher_mutation_burden,8,0,
23,Pericyte/SMC,"ACTA2, RGS5, Q9UM47",top_mutated_genes,8,0,
23,Pericyte/SMC,"ACTA2, RGS5, Q9UM47",wound_edge_higher_mutation_burden,8,0,
23,Pericyte/SMC,"ACTA2, RGS5, Q9UM47",unwounded_skin_higher_mutation_burden,8,0,
24,Pericyte/SMC,"RGS5, RBP7, NR2F2",top_mutated_genes,8,1,SYNPO2
24,Pericyte/SMC,"RGS5, RBP7, NR2F2",wound_edge_higher_mutation_burden,8,0,
24,Pericyte/SMC,"RGS5, RBP7, NR2F2",unwounded_skin_higher_mutation_burden,8,0,
25,Macrophage/Monocyte,"Q5TBB8, LCP1, LYZ",top_mutated_genes,8,0,
25,Macrophage/Monocyte,"Q5TBB8, LCP1, LYZ",wound_edge_higher_mutation_burden,8,0,
25,Macrophage/Monocyte,"Q5TBB8, LCP1, LYZ",unwounded_skin_higher_mutation_burden,8,0,
26,Keratinocyte,"SFN, Q14574, DSP",top_mutated_genes,8,0,
26,Keratinocyte,"SFN, Q14574, DSP",wound_edge_higher_mutation_burden,8,0,
26,Keratinocyte,"SFN, Q14574, DSP",unwounded_skin_higher_mutation_burden,8,0,
27,Unknown,"PCSK1, NEGR1, CYP19A1",top_mutated_genes,8,0,
27,Unknown,"PCSK1, NEGR1, CYP19A1",wound_edge_higher_mutation_burden,8,0,
27,Unknown,"PCSK1, NEGR1, CYP19A1",unwounded_skin_higher_mutation_burden,8,0,
28,Unknown,"KRT19, AQP5, KRT7",top_mutated_genes,8,0,
28,Unknown,"KRT19, AQP5, KRT7",wound_edge_higher_mutation_burden,8,0,
28,Unknown,"KRT19, AQP5, KRT7",unwounded_skin_higher_mutation_burden,8,0,
29,Endothelial,"ACKR1, SELE, AQP1",top_mutated_genes,8,0,
29,Endothelial,"ACKR1, SELE, AQP1",wound_edge_higher_mutation_burden,8,0,
29,Endothelial,"ACKR1, SELE, AQP1",unwounded_skin_higher_mutation_burden,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",top_mutated_genes,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",wound_edge_higher_mutation_burden,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",unwounded_skin_higher_mutation_burden,8,0,
30,Mast,"CPA3, TPSAB1, TPSB2",top_mutated_genes,8,0,
30,Mast,"CPA3, TPSAB1, TPSB2",wound_edge_higher_mutation_burden,8,0,
