sample,PC1,PC2,condition,donor_proxy_id
SRR14762238,131.46696828495388,30.260398011650906,unwounded_skin,D01
SRR14762239,92.70676035021101,20.609942993413455,unwounded_skin,D01
SRR14762240,-10.36822591562368,-24.10749962637515,unwounded_skin,D02
SRR14762241,-8.297009053179226,-14.403996308016296,unwounded_skin,D02
SRR14762242,-18.545613844507244,-74.45979783748972,unwounded_skin,D03
SRR14762243,-18.19107685090997,-72.62244901608219,unwounded_skin,D03
SRR14762244,-18.73672535837099,-23.24831904837982,unwounded_skin,D04
SRR14762245,-25.861522256186422,-32.03028995974606,unwounded_skin,D04
SRR14762246,-50.24174440762347,104.41830146184684,wound_edge,D05
SRR14762247,-51.674710856393254,105.04264522191741,wound_edge,D05
SRR14762248,32.43873810102843,-2.1263664503945092,wound_edge,D06
SRR14762250,29.436615162470325,-2.9384547970924526,wound_edge,D06
SRR14762251,-41.680683277596444,-7.383684022607849,wound_edge,D07
SRR14762252,-42.45177007827307,-7.010430622644574,wound_edge,D07
