sample,PC1,PC2
SRR14762238,134.51975766434356,22.905350253463972
SRR14762239,93.64671228041786,14.916673846151754
SRR14762240,-13.804758091874591,-27.39548377947059
SRR14762241,-11.502563960807402,-19.084485300041074
SRR14762242,-20.57925963196953,-67.5515497080894
SRR14762243,-20.16573099013537,-65.79858871659293
SRR14762244,-21.849669075436964,-26.34843269280318
SRR14762245,-29.335304144331158,-33.228330247724145
SRR14762246,-41.168056024599416,109.82424440361314
SRR14762247,-41.815695746341135,110.36560677082508
SRR14762248,32.16029750914944,-6.594976763136231
SRR14762250,29.783118981174127,-7.153820761455941
SRR14762251,-44.52663018021158,-2.6292185025167845
SRR14762252,-45.3622185893778,-2.2269888022252
