sample,PC1,PC2,condition,donor_proxy_id
SRR14762238,127.39234449879783,8.674372871405675,unwounded_skin,D01
SRR14762239,105.57844513409455,4.5355310627878245,unwounded_skin,D01
SRR14762240,-29.77740947962548,-44.132062982633855,unwounded_skin,D02
SRR14762241,-53.5808220053436,-51.935921875693346,unwounded_skin,D02
SRR14762242,-15.72831852018413,-62.93805840668745,unwounded_skin,D03
SRR14762243,-14.659405796466292,-61.6463526008743,unwounded_skin,D03
SRR14762244,-59.462090516739266,-42.28763515305866,unwounded_skin,D04
SRR14762245,-51.346903649880765,-32.6026424104148,unwounded_skin,D04
SRR14762246,-30.459105307521938,104.3446585821938,wound_edge,D05
SRR14762247,-31.875806306278523,105.38220513810066,wound_edge,D05
SRR14762248,71.26127900266508,-9.614482298681386,wound_edge,D06
SRR14762250,67.41130602977466,-9.618839534444378,wound_edge,D06
SRR14762251,-42.12007029586135,45.56814676311839,wound_edge,D07
SRR14762252,-42.633442787430745,46.27108084488189,wound_edge,D07
