gene,coef,abs_coef
SF3A1,-0.004382,0.004382
KHDC1-AS1,-0.004240,0.004240
MLKL,-0.004178,0.004178
WWC2,-0.004074,0.004074
ENSG00000230333,-0.004028,0.004028
CDYL2,-0.004010,0.004010
ANGPT2,-0.004010,0.004010
PBX1,-0.004002,0.004002
FZD2,-0.003990,0.003990
NHEJ1,-0.003989,0.003989
TRAF3IP2-AS1,-0.003986,0.003986
PDLIM3,-0.003971,0.003971
LRRC47,-0.003970,0.003970
ELF3-AS1,-0.003967,0.003967
ENSG00000291136,-0.003941,0.003941
PSMG4,-0.003941,0.003941
N4BP2L2,-0.003923,0.003923
SSBP3,0.003916,0.003916
EML1,-0.003907,0.003907
GABPB1-AS1,-0.003906,0.003906
