sample,filtered_number of records:,filtered_number of SNPs:,filtered_number of indels:,cohort_number of records:,cohort_number of SNPs:,cohort_number of indels:
SRR14762238,186656,181000,5656,94210,91304,2906
SRR14762239,179127,173792,5335,87423,84798,2625
SRR14762240,50827,48944,1883,19409,18525,884
SRR14762241,15397,14798,599,5279,5027,252
SRR14762242,101734,97783,3951,44808,42737,2071
SRR14762243,102050,98148,3902,44785,42791,1994
SRR14762244,63625,61046,2579,28644,27267,1377
SRR14762245,86362,83058,3304,40870,39107,1763
SRR14762246,155258,152148,3110,86292,84842,1450
SRR14762247,156529,153451,3078,87540,86089,1451
SRR14762248,162101,155656,6445,70772,67364,3408
SRR14762250,159900,153542,6358,69328,65998,3330
SRR14762251,139304,133609,5695,68518,65051,3467
SRR14762252,139541,133686,5855,69165,65583,3582
